,literacy_home,risk_factors,aspired_occ_b,math_b,reading_b,math_conf_b,verbal_confidence,writing,sports,by_xcurr,homework,hedonics_b,hours_working_b,edu_confidence,aspired_occ_1,math_1,math_status_1,hs_gpa,f1_xcurr,hours_working_1,hedonics_1,math_conf_1,hs_ac_load,ps_level,effort,testing,v_facility,m_facility,academic_p,iq_by_concientiousness,delinquency,wages_cont,graduated_Y
7709,3.0,2.0,,46.38,49.18,,,1.001,,0.0,5.0,,,4.0,9.0,39.89,3.0,0.0,,2.0,-2.039,24.0,3.0,2.0,8.0,135.45,196.72,119.67,0.0,2531.12,,8804250.0,0.0
6971,3.0,3.0,-1.0,40.8,41.17,,,-0.5429999999999999,1.0,1.0,21.0,2.0,4.0,7.0,11.0,41.57,6.0,1.0,4.0,1.0,,27.0,4.0,2.0,25.0,123.53999999999999,164.68,249.42000000000002,25.0,10352.5,,5312220.0,1.0
12898,3.0,0.0,10.0,68.81,57.93,1.7719999999999998,-0.9329999999999999,-1.087,1.0,2.0,8.0,4.0,2.0,8.0,10.0,66.63,6.0,2.0,4.0,,,24.0,5.0,1.0,13.0,193.37,231.72,399.78,26.0,8209.5,,12569050.0,1.0
4452,3.0,0.0,-1.0,59.04,64.46,-0.171,-0.37200000000000005,1.001,1.0,2.0,2.0,5.0,0.0,6.0,-1.0,51.9,6.0,3.0,2.0,2.0,-0.755,31.0,6.0,1.0,8.0,175.4,257.84,311.4,24.0,4553.92,0.0,3508000.0,1.0
8220,2.0,0.0,,64.01,68.16,-0.381,-1.2409999999999999,,0.0,2.0,6.0,2.0,0.0,6.0,16.0,64.94,6.0,1.0,0.0,2.0,0.779,25.0,6.0,1.0,12.0,197.11,204.48,389.64,12.0,7129.4400000000005,0.0,0.0,1.0
2794,3.0,,10.0,63.02,65.94,-0.63,1.5959999999999999,1.756,1.0,1.0,16.0,3.0,9.0,7.0,9.0,60.25,6.0,1.0,6.0,6.0,,30.0,3.0,2.0,19.0,189.21,263.76,361.5,19.0,11879.94,,18921.0,0.0
7850,2.0,,10.0,43.22,31.19,-0.63,-0.9329999999999999,1.001,0.0,2.0,2.0,3.0,0.0,7.0,9.0,41.61,4.0,1.0,0.0,4.0,,29.0,5.0,1.0,7.0,116.02,93.57000000000001,166.44,7.0,1820.07,,4988860.0,1.0
336,3.0,,2.0,45.07,28.97,-1.382,-2.009,-0.63,,1.0,0.0,,2.0,4.0,-1.0,37.8,4.0,4.0,4.0,8.0,-2.039,21.0,3.0,2.0,3.0,111.83999999999999,115.88,151.2,12.0,801.24,,2348640.0,1.0
12450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6548,1.0,1.0,9.0,62.38,64.71,1.7719999999999998,1.5959999999999999,1.001,1.0,3.0,2.0,2.0,1.0,6.0,9.0,58.79,5.0,5.0,0.0,3.0,1.811,30.0,6.0,1.0,8.0,185.88,129.42,293.95,40.0,3386.96,3.811,0.0,1.0
9644,2.0,4.0,10.0,59.24,57.56,1.3219999999999998,1.5959999999999999,1.567,0.0,1.0,21.0,2.0,1.0,7.0,9.0,60.64,6.0,2.0,0.0,,,24.0,6.0,1.0,27.0,177.44,172.68,363.84000000000003,54.0,14486.039999999999,,5855520.0,1.0
2638,2.0,1.0,14.0,57.54,46.6,,,0.052000000000000005,1.0,1.0,3.0,2.0,2.0,7.0,-1.0,56.52,4.0,5.0,4.0,2.0,,,,1.0,,160.66,139.8,226.08,,,,4819800.0,0.0
9053,3.0,2.0,-1.0,46.52,45.49,-0.63,0.14300000000000002,,0.0,0.0,4.0,8.0,0.0,6.0,10.0,47.33,3.0,2.0,0.0,1.0,,28.0,2.0,3.0,6.0,139.34,181.96,141.99,12.0,1943.7000000000003,,1393400.0,0.0
6460,,2.0,9.0,30.38,25.28,,,-0.6,3.0,5.0,10.0,0.0,,6.0,,27.81,1.0,1.0,1.0,,,18.0,3.0,3.0,13.0,83.47,,27.81,13.0,,,166940.0,0.0
5479,3.0,0.0,-1.0,52.69,53.13,-1.5819999999999999,0.14300000000000002,-0.21600000000000003,1.0,0.0,6.0,0.0,0.0,6.0,9.0,46.64,5.0,3.0,0.0,2.0,-1.033,22.0,3.0,1.0,9.0,152.45999999999998,212.52,233.2,27.0,4011.4800000000005,-0.0,2286899.9999999995,1.0
